import time: self [us] | cumulative | imported package
import time:       596 |        596 |                 torch._opaque_base
import time:    275314 |     275910 |               torch._C
import time:      1090 |       1090 |                 torch.overrides
import time:       966 |       2055 |               torch._tensor
import time:       322 |        322 |                 torch.types
import time:       549 |        870 |               torch.storage
import time:       294 |        294 |                 torch.amp.autocast_mode
import time:       354 |        354 |                 torch.amp.grad_scaler
import time:       453 |       1100 |               torch.amp
import time:       481 |        481 |               torch.random
import time:       516 |        516 |                 difflib
import time:      1754 |       1754 |                 tarfile
import time:       302 |        302 |                 torch._weights_only_unpickler
import time:       284 |        284 |                 torch._sources
import time:      1597 |       1597 |                 mmap
import time:       653 |       5104 |               torch.serialization
import time:       648 |        648 |               torch._tensor_str
import time:       581 |        581 |                 torch.cuda._device_limits
import time:       342 |        342 |                 torch.cuda.gds
import time:        49 |         49 |                     cuda
import time:         9 |         57 |                   cuda.bindings
import time:       274 |        331 |                 torch.cuda._utils
import time:        40 |         40 |                     cuda
import time:         8 |         48 |                   cuda.bindings
import time:       581 |        628 |                 torch.cuda.graphs
import time:       326 |        326 |                 torch.cuda.green_contexts
import time:       474 |        474 |                 torch.cuda.streams
import time:        40 |         40 |                 pynvml
import time:       282 |        282 |                   torch.cuda._memory_viz
import time:       488 |        770 |                 torch.cuda.memory
import time:       209 |        209 |                 torch.cuda.random
import time:       219 |        219 |                   torch.cuda.amp.autocast_mode
import time:       111 |        111 |                   torch.cuda.amp.common
import time:       207 |        207 |                   torch.cuda.amp.grad_scaler
import time:       337 |        873 |                 torch.cuda.amp
import time:       482 |        482 |                 torch.cuda.jiterator
import time:       225 |        225 |                 torch.cuda.nvtx
import time:        74 |         74 |                 torch.cuda.profiler
import time:        65 |         65 |                 torch.cuda.sparse
import time:       330 |        330 |                       multiprocessing.process
import time:       306 |        306 |                       multiprocessing.reduction
import time:       385 |       1020 |                     multiprocessing.context
import time:       553 |       1573 |                   multiprocessing
import time:       563 |       2136 |                 torch.cuda.tunable
import time:      5242 |      12790 |               torch.cuda
import time:       205 |        205 |                   torch.sparse._semi_structured_conversions
import time:       201 |        201 |                   torch.sparse._semi_structured_ops
import time:       575 |        980 |                 torch.sparse.semi_structured
import time:       419 |       1398 |               torch.sparse
import time:       523 |        523 |               torch._compile
import time:       298 |        298 |               torch._VF
import time:       555 |        555 |                     torch.nn.parameter
import time:       806 |        806 |                         torch._prims_common
import time:       457 |        457 |                             torch.utils.backcompat
import time:       575 |        575 |                             torch.utils.collect_env
import time:       159 |        159 |                                           torch.distributed._pycute.typing
import time:       336 |        495 |                                         torch.distributed._pycute.int_tuple
import time:       309 |        309 |                                         torch.distributed._pycute.layout
import time:       431 |       1234 |                                       torch.distributed._pycute
import time:       781 |       2014 |                                     torch.distributed._mesh_layout
import time:       429 |        429 |                                     torch.utils._typing_utils
import time:       287 |        287 |                                             unittest.util
import time:       263 |        549 |                                           unittest.result
import time:       284 |        284 |                                             pprint
import time:       440 |        724 |                                           unittest.case
import time:       281 |        281 |                                           unittest.suite
import time:       449 |        449 |                                           unittest.loader
import time:       223 |        223 |                                               unittest.signals
import time:       336 |        559 |                                             unittest.runner
import time:       339 |        897 |                                           unittest.main
import time:       199 |       3098 |                                         unittest
import time:       856 |       3954 |                                       torch.utils._config_module
import time:       591 |       4544 |                                     torch.distributed.config
import time:       985 |        985 |                                       torch.monitor
import time:       603 |        603 |                                         torch.distributed.logging_handlers
import time:       489 |       1092 |                                       torch.distributed.c10d_logger
import time:       213 |        213 |                                       torch.distributed.constants
import time:       315 |        315 |                                       torch.distributed.rendezvous
